129.39999,128.2,138.2,141.60001,142.60001,145.8
129.8,129,138.60001,141.8,143,146.2
130.39999,129.8,138.8,141.8,143,146.39999
131.2,130.8,139,141.8,143,146.2
131.8,131.39999,139,141.8,143.39999,146.60001
132.39999,131.8,139.2,142,143.39999,146.8
133,132.39999,139.39999,142,143.60001,146.60001
133.39999,133.2,139.60001,142.2,143.8,146.60001
133.60001,133.8,139.8,142.60001,144,146.8
133.8,134.39999,140.2,142.8,144,146.8
134.39999,134.8,140.39999,143,144,147.2
134.8,135,140.8,143,144.39999,147.39999
135.2,135.2,141,143,144.60001,147.2
135.60001,135.8,141,143.2,144.39999,147
136,136.39999,141,143.39999,144.2,147.60001
136.2,136.8,141.2,143.60001,144.60001,147.60001
136.60001,137,141.2,143.8,144.8,147.39999
136.8,137.2,141.39999,144,145,147.39999
137,137.39999,141.8,144,145.2,147.8
137.39999,137.8,142,144.2,145,147.8
137.60001,138,142.39999,144.2,145,147.60001
137.8,138,142.60001,144.60001,145,147.60001
138,138.39999,143,144.39999,144.8,147.8
138.60001,139,143.39999,144.8,145,147.8
139,139.2,143.60001,145,145.39999,148
139.39999,139.39999,143.8,145.2,145.60001,148.39999
139.39999,139.60001,144.2,145.60001,145.60001,148.39999
139.60001,139.60001,144.2,145.60001,145.8,148.39999
140,140,144.2,145.60001,145.8,148.2
140.2,140.2,144.39999,145.8,146,148.39999
140.8,140.39999,144.60001,146,146.2,149.2
141,140.60001,145,146,146.2,149.60001
141,141,145.39999,146.2,146,149.60001
141.39999,141.2,145.8,146.39999,146.2,149.60001
141.8,141.60001,145.8,146.39999,146.39999,149.8
142,142.2,146,146.60001,146.39999,150.2
142.39999,142.60001,146.2,146.60001,146.8,150.60001
142.8,142.60001,146.2,147,146.8,150.8
143.2,142.8,146.2,147.2,146.8,151.39999
143.2,143,147,147.2,147,152
143.2,143.2,147,147.60001,147,152.39999
143.60001,143.60001,147.2,147.60001,147.2,153.39999
144.2,143.60001,147.39999,147.60001,147.2,154.60001
144.60001,143.60001,147.60001,147.60001,147.39999,155.60001
144.8,144,147.8,147.60001,147.60001,156.60001
145,144.60001,147.8,148,147.60001,157.60001
145.2,145,147.8,148,147.60001,158.8
145.39999,145.2,148,148,147.60001,160.39999
145.60001,145.2,148,148,147.60001,161.8
145.8,145.2,147.8,148.2,147.8,164
146,145.2,147.8,148.39999,147.8,165
146.39999,145.39999,148.39999,148.60001,148,166.39999
146.8,146,148.8,148.39999,148,168.39999
147,146.2,148.60001,148.60001,148,170.2
146.8,146.39999,148.60001,148.8,148,171.8
146.8,146.60001,148.39999,148.8,148.39999,173.39999
146.8,146.8,148.2,148.8,148.39999,176.60001
146.8,147,148.39999,148.8,148.39999,178
147.2,147.2,148.60001,148.8,148.60001,179.39999
147.60001,147.2,148.8,149,148.60001,180.8
147.8,147.2,148.8,149.2,148.60001,182.60001
147.8,147.39999,148.8,149.2,148.8,184.2
147.8,147.8,148.8,149.39999,148.8,186
147.8,148,148.8,149.60001,149.2,188.60001
147.8,148.2,148.8,149.60001,149.39999,190.60001
147.8,148.2,149,149.60001,149.39999,193
147.8,148.2,149.39999,149.60001,149.60001,194.39999
148.2,148.2,149.2,149.60001,149.8,195.8
148.2,148,149.2,149.8,149.8,197.2
148.60001,148.2,149.2,149.8,150.2,199
148.39999,148.2,149.2,149.8,150.39999,200.39999
148.39999,148.2,149.2,150,150.8,201.39999
148.39999,148.39999,149.2,150.2,151.2,203
148.39999,148.60001,149.2,150.60001,151.60001,204.39999
148.39999,148.60001,149.39999,150.8,152.2,205.8
148.60001,148.39999,149.60001,151.2,152.8,206.60001
148.60001,148.60001,149.60001,151.60001,153.39999,208
148.60001,148.60001,149.60001,152,154.2,209
148.60001,148.8,149.60001,152.39999,155,209.8
148.60001,149,149.8,153.2,156.60001,210.60001
148.60001,149,149.8,153.8,157.8,211.39999
148.8,148.8,149.8,154.2,158.8,211.8
148.8,148.39999,150,154.8,160.8,212
148.8,148.39999,150.2,155.60001,162.2,212.8
148.8,148.8,150.39999,156.39999,164,213.2
148.8,148.8,150.39999,157.60001,166.2,213.8
148.8,148.60001,150.60001,158.60001,167.60001,214.39999
148.8,148.60001,151,159.8,169.2,214.60001
148.60001,148.8,151.39999,160.8,171,214.8
148.60001,149,151.8,161.60001,173,215.60001
148.8,149,152.39999,163.2,174.39999,216
148.8,149,153,164.60001,175.8,215.8
148.8,149,153.60001,165.8,178.60001,215.8
149,149,154.39999,167.2,180,216.2
149,149.2,155.2,169.39999,181.60001,216.39999
149.2,149.2,155.8,171,183.39999,216.60001
149.39999,149.2,156.8,172.60001,185,216.60001
149.39999,149.39999,157.60001,174,187.39999,216.39999
149,149.39999,158.2,175.39999,189.39999,216.39999
149,149.2,159,177,191.2,216.60001
149.39999,149.2,160.2,178.8,193.2,216.8
149.39999,149.39999,161.60001,180.39999,195.2,217
149.39999,149.60001,162.60001,182,197.2,217
149.60001,149.39999,163.60001,183.60001,198.8,217
149.8,149.39999,165.2,185.2,199.8,217
149.60001,149.60001,167,186.8,201,216.8
149.39999,150,168,188.39999,202.2,217
149.8,150.2,169.60001,189.8,203.2,217.2
150,150.39999,171.39999,191,204,217
150.2,150.8,173.60001,192.2,205.2,217.2
150.39999,151.2,175.39999,193.39999,206.2,217.60001
150.2,151.39999,176.8,194.8,206.8,217.60001
150.39999,151.8,178.39999,196,207.8,217.2
150.8,152,180.2,197.2,208.60001,217
151.2,152.39999,181.8,198.39999,209.2,217.2
151.39999,153,183.39999,199.39999,210.39999,217
151.8,153.60001,184.60001,200.60001,211.2,217
152.2,154,186.2,201.8,211.60001,217.39999
152.60001,155,187.60001,202.8,212,217
